2023-11-24T15:46:22.797791-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | GToolkitForPharo9 | github://feenkcom/gtoolkit:main/src | CommandLine handler process
2023-11-24T15:46:32.108053-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | GToolkitForPharo9 | github://feenkcom/gtoolkit:main/src | CommandLine handler process
2023-11-24T15:46:32.135006-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | GToolkit | github://feenkcom/gtoolkit:main/src | CommandLine handler process
2023-11-24T15:46:32.13563-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | GToolkit | github://feenkcom/gtoolkit:main/src | CommandLine handler process
2023-11-24T15:46:32.175884-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | GToolkitVirtualMachine | github://feenkcom/gtoolkit-vm-bindings:main/src | CommandLine handler process
2023-11-24T15:46:33.43845-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | GToolkitVirtualMachine | github://feenkcom/gtoolkit-vm-bindings:main/src | CommandLine handler process
2023-11-24T15:46:33.464056-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | GToolkitVirtualMachine | github://feenkcom/gtoolkit-vm-bindings:main/src | CommandLine handler process
2023-11-24T15:46:33.464661-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | GToolkitClipboard | github://feenkcom/gtoolkit-clipboard:main/src | CommandLine handler process
2023-11-24T15:46:34.71359-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | GToolkitClipboard | github://feenkcom/gtoolkit-clipboard:main/src | CommandLine handler process
2023-11-24T15:46:34.736723-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | GToolkitBoxer | github://feenkcom/gtoolkit-boxer:main/boxer-bindings | CommandLine handler process
2023-11-24T15:46:36.189652-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | GToolkitBoxer | github://feenkcom/gtoolkit-boxer:main/boxer-bindings | CommandLine handler process
2023-11-24T15:46:36.212896-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | GToolkitBoxer | github://feenkcom/gtoolkit-boxer:main/boxer-bindings | CommandLine handler process
2023-11-24T15:46:36.213426-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | GToolkitPhlowForRust | github://feenkcom/gt4phlow-rs:main/src | CommandLine handler process
2023-11-24T15:46:37.369115-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | GToolkitPhlowForRust | github://feenkcom/gt4phlow-rs:main/src | CommandLine handler process
2023-11-24T15:46:37.403118-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | GToolkitBoxer | github://feenkcom/gtoolkit-boxer:main/boxer-bindings | CommandLine handler process
2023-11-24T15:46:37.403301-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | GToolkitPhlowForRust | github://feenkcom/gt4phlow-rs:main/src | CommandLine handler process
2023-11-24T15:46:37.403457-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | GToolkitClipboard | github://feenkcom/gtoolkit-clipboard:main/src | CommandLine handler process
2023-11-24T15:46:37.403623-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | GToolkitPresenter | github://feenkcom/gtoolkit-presenter:main/src | CommandLine handler process
2023-11-24T15:46:39.898404-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | GToolkitPresenter | github://feenkcom/gtoolkit-presenter:main/src | CommandLine handler process
2023-11-24T15:46:39.925438-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | Brick | github://feenkcom/Brick:main/src | CommandLine handler process
2023-11-24T15:46:44.025652-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | Brick | github://feenkcom/Brick:main/src | CommandLine handler process
2023-11-24T15:46:44.055537-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | Bloc | github://feenkcom/Bloc:main/src | CommandLine handler process
2023-11-24T15:46:48.464848-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | Bloc | github://feenkcom/Bloc:main/src | CommandLine handler process
2023-11-24T15:46:48.501957-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | Beacon | github://feenkcom/pharo-beacon/repository | CommandLine handler process
2023-11-24T15:46:48.502594-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | Beacon | github://feenkcom/pharo-beacon/repository | CommandLine handler process
2023-11-24T15:46:48.513941-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | BeaconCore | github://feenkcom/pharo-beacon/repository | CommandLine handler process
2023-11-24T15:46:48.514192-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | BeaconCore | github://feenkcom/pharo-beacon/repository | CommandLine handler process
2023-11-24T15:46:48.521526-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | BeaconCore | github://feenkcom/pharo-beacon/repository | CommandLine handler process
2023-11-24T15:46:48.521563-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | Beacon | github://feenkcom/pharo-beacon/repository | CommandLine handler process
2023-11-24T15:46:48.521687-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | Telemetry | github://feenkcom/pharo-telemetry:main/src | CommandLine handler process
2023-11-24T15:46:49.709257-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | Telemetry | github://feenkcom/pharo-telemetry:main/src | CommandLine handler process
2023-11-24T15:46:49.749599-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | BeaconCore | github://feenkcom/pharo-beacon/repository | CommandLine handler process
2023-11-24T15:46:49.749797-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | Telemetry | github://feenkcom/pharo-telemetry:main/src | CommandLine handler process
2023-11-24T15:46:49.750053-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | Futures | github://feenkcom/pharo-futures:main/src | CommandLine handler process
2023-11-24T15:46:51.250066-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | Futures | github://feenkcom/pharo-futures:main/src | CommandLine handler process
2023-11-24T15:46:51.274089-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | Futures | github://feenkcom/pharo-futures:main/src | CommandLine handler process
2023-11-24T15:46:51.274662-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | Fenster | github://feenkcom/fenster:main/src | CommandLine handler process
2023-11-24T15:46:52.572664-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | Fenster | github://feenkcom/fenster:main/src | CommandLine handler process
2023-11-24T15:46:52.59695-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | Fenster | github://feenkcom/fenster:main/src | CommandLine handler process
2023-11-24T15:46:52.597652-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | Sparta | github://feenkcom/Sparta:main/src | CommandLine handler process
2023-11-24T15:46:54.762765-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | Sparta | github://feenkcom/Sparta:main/src | CommandLine handler process
2023-11-24T15:46:54.79048-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | SpartaCore | github://feenkcom/Sparta:main/src | CommandLine handler process
2023-11-24T15:46:54.791113-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | SpartaCore | github://feenkcom/Sparta:main/src | CommandLine handler process
2023-11-24T15:46:54.811929-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | SpartaCore | github://feenkcom/Sparta:main/src | CommandLine handler process
2023-11-24T15:46:54.812169-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | SpartaCairo | github://feenkcom/Sparta:main/src | CommandLine handler process
2023-11-24T15:46:54.812525-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | SpartaCairo | github://feenkcom/Sparta:main/src | CommandLine handler process
2023-11-24T15:46:54.834984-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | SpartaCore | github://feenkcom/Sparta:main/src | CommandLine handler process
2023-11-24T15:46:54.836767-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | SpartaCairo | github://feenkcom/Sparta:main/src | CommandLine handler process
2023-11-24T15:46:54.837013-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | SpartaSkia | github://feenkcom/Sparta:main/src | CommandLine handler process
2023-11-24T15:46:54.837471-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | SpartaSkia | github://feenkcom/Sparta:main/src | CommandLine handler process
2023-11-24T15:46:54.861076-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | SpartaCore | github://feenkcom/Sparta:main/src | CommandLine handler process
2023-11-24T15:46:54.861241-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | GToolkitBoxer | github://feenkcom/gtoolkit-boxer:main/boxer-bindings | CommandLine handler process
2023-11-24T15:46:54.861392-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | GToolkitPhlowForRust | github://feenkcom/gt4phlow-rs:main/src | CommandLine handler process
2023-11-24T15:46:54.862064-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | GToolkitExamplesEngine | github://feenkcom/gtoolkit-examples:main/src | CommandLine handler process
2023-11-24T15:46:54.862287-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | GToolkitExamplesEngine | github://feenkcom/gtoolkit-examples:main/src | CommandLine handler process
2023-11-24T15:46:54.872417-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | GToolkitExamplesEngine | github://feenkcom/gtoolkit-examples:main/src | CommandLine handler process
2023-11-24T15:46:54.872585-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | SpartaSkia | github://feenkcom/Sparta:main/src | CommandLine handler process
2023-11-24T15:46:54.87269-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | Sparta | github://feenkcom/Sparta:main/src | CommandLine handler process
2023-11-24T15:46:54.873031-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | Glutin | github://feenkcom/gtoolkit-glutin:main/src | CommandLine handler process
2023-11-24T15:46:56.516063-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | Glutin | github://feenkcom/gtoolkit-glutin:main/src | CommandLine handler processNewUndeclaredWarning: BaselineOfGlutin>>postLoadInitializeEventsMap: (RustWindowingBaseEvent is Undeclared)

2023-11-24T15:46:56.544211-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | GToolkitBoxer | github://feenkcom/gtoolkit-boxer:main/boxer-bindings | CommandLine handler process
2023-11-24T15:46:56.544489-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | Fenster | github://feenkcom/fenster:main/src | CommandLine handler process
2023-11-24T15:46:56.544627-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | Glutin | github://feenkcom/gtoolkit-glutin:main/src | CommandLine handler process
2023-11-24T15:46:56.54468-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | Bloc | github://feenkcom/Bloc:main/src | CommandLine handler process
2023-11-24T15:46:56.544775-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | Futures | github://feenkcom/pharo-futures:main/src | CommandLine handler process
2023-11-24T15:46:56.544838-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | BlocExamples | github://feenkcom/Bloc:main/src | CommandLine handler process
2023-11-24T15:46:56.545939-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | BlocExamples | github://feenkcom/Bloc:main/src | CommandLine handler process
2023-11-24T15:46:56.573632-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | Bloc | github://feenkcom/Bloc:main/src | CommandLine handler process
2023-11-24T15:46:56.574777-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | Beacon | github://feenkcom/pharo-beacon/repository | CommandLine handler process
2023-11-24T15:46:56.575008-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | SpartaSkia | github://feenkcom/Sparta:main/src | CommandLine handler process
